ID,Customer_ID,Seller_ID,Number_of_Items,Order_Date,Order_Time,Estimated_Delivery_Date,Date_delivered
1152410,68812,319567,4,2022-08-05,20:56:39,2022-08-07,2022-08-09
2126113,48408,174493,2,2022-11-16,22:52:01,2022-11-16,2022-11-20
1026002,59329,790044,5,2021-07-30,19:23:52,2021-08-05,2021-08-03
2565969,57156,452172,1,2021-09-20,07:35:17,2021-09-22,2021-09-22
1121571,27727,502468,3,2021-11-29,12:51:52,2021-11-29,2021-12-01
3384604,74288,584363,4,2022-01-15,04:49:03,2022-01-15,2022-01-16
1044560,36086,337414,3,2022-04-26,22:01:58,2022-04-26,2022-04-29
2142763,27701,471445,1,2022-11-16,12:44:43,2022-11-16,2022-11-19
2293135,64480,451058,8,2022-08-05,21:30:22,2022-08-07,2022-08-05
3398975,63450,126763,2,2022-04-28,01:10:04,2022-05-03,2022-05-05
2300697,16321,383339,5,2021-05-18,07:21:49,2021-05-22,2021-05-19
2380118,58385,422012,1,2021-08-04,09:31:19,2021-08-06,2021-08-05
1682989,96798,206457,5,2022-09-12,09:42:07,2022-09-16,2022-09-14
1801684,76593,121957,5,2021-10-08,05:28:14,2021-10-10,2021-10-08
2088631,46861,324797,2,2022-04-04,13:23:48,2022-04-05,2022-04-06
3096569,87420,339347,4,2022-10-13,22:59:05,2022-10-15,2022-10-14
1777086,90534,750919,8,2021-05-26,17:17:39,2021-05-26,2021-05-26
2504122,89249,472064,2,2021-10-30,02:44:32,2021-11-01,2021-11-01
1121337,39915,326689,6,2021-02-14,15:46:55,2021-02-16,2021-02-16
3439076,10166,587034,4,2022-10-20,19:01:17,2022-10-21,2022-10-25
2650851,96611,529048,1,2021-11-10,04:28:41,2021-11-12,2021-11-13
1176780,67677,808574,5,2022-01-16,14:01:59,2022-01-18,2022-01-20
3321118,66153,114745,8,2022-07-26,05:05:42,2022-07-28,2022-07-28
1578569,38139,664480,4,2021-10-05,11:09:16,2021-10-06,2021-10-07
1874689,22666,814390,1,2021-07-05,02:01:16,2021-07-08,2021-07-06
1206364,55599,374527,2,2022-05-07,04:07:09,2022-05-07,2022-05-11
2432910,31631,352623,7,2021-03-20,01:50:12,2021-03-20,2021-03-21
2908547,58781,769230,4,2022-05-10,21:31:58,2022-05-10,2022-05-12
2706466,92152,617533,3,2022-06-08,13:39:54,2022-06-09,2022-06-08
3408528,74679,524774,2,2021-03-03,22:38:30,2021-03-03,2021-03-09
2343683,84674,235040,2,2022-03-13,04:54:43,2022-03-15,2022-03-13
1447176,87636,115824,3,2021-10-01,14:19:46,2021-10-04,2021-10-01
3114666,24146,233758,5,2022-11-27,01:29:33,2022-11-29,2022-11-30
1970004,27435,746241,3,2021-11-12,21:16:53,2021-11-12,2021-11-15
1830468,84246,256102,7,2022-01-26,10:44:51,2022-01-28,2022-01-26
1265516,45741,817386,4,2021-05-31,12:51:31,2021-06-06,2021-06-05
1169403,64458,791313,5,2021-05-28,00:48:25,2021-05-29,2021-05-28
2504274,19529,436770,2,2021-12-04,16:05:32,2021-12-06,2021-12-09
2660772,71792,123451,4,2022-07-03,05:17:22,2022-07-04,2022-07-06
2207766,96310,186556,2,2021-09-10,00:57:12,2021-09-13,2021-09-11
1907000,61413,406108,2,2021-08-08,07:11:26,2021-08-09,2021-08-09
2118185,21772,356606,5,2022-03-01,18:41:47,2022-03-03,2022-03-05
2362746,99375,483791,4,2021-12-09,23:30:43,2021-12-09,2021-12-11
1711908,29840,191665,5,2021-03-12,08:55:44,2021-03-14,2021-03-13
2961754,67796,143130,7,2021-12-31,03:40:33,2022-01-03,2022-01-07
1527770,27511,368107,2,2021-02-04,15:57:30,2021-02-08,2021-02-04
2497674,70489,538719,1,2021-02-15,12:38:04,2021-02-15,2021-02-16
1869099,66663,841960,7,2021-11-17,08:57:37,2021-11-18,2021-11-22
2810571,24610,564836,3,2021-03-19,18:10:17,2021-03-19,2021-03-21
2732207,86614,898255,2,2022-10-10,21:26:06,2022-10-15,2022-10-15
1409249,37827,142314,5,2021-02-01,06:07:40,2021-02-02,2021-02-03
2611561,24520,632394,6,2021-06-06,14:48:35,2021-06-09,2021-06-06
3065273,21321,779434,5,2022-09-28,12:42:50,2022-10-01,2022-09-30
2265810,53668,332665,5,2022-04-02,23:10:50,2022-04-05,2022-04-02
2759307,90913,581106,5,2022-04-30,01:02:17,2022-05-04,2022-05-02
2184364,30437,338728,2,2021-07-29,10:15:35,2021-07-29,2021-08-01
2253071,68928,230719,1,2021-11-03,20:52:38,2021-11-03,2021-11-05
2415615,34384,535474,1,2022-12-19,17:11:37,2022-12-19,2022-12-21
2812799,38830,851926,6,2022-01-16,05:31:04,2022-01-18,2022-01-22
1197073,11937,213777,2,2021-11-01,18:33:52,2021-11-02,2021-11-07
2386896,50348,114745,3,2021-03-04,09:11:26,2021-03-06,2021-03-05
2073884,73436,281449,1,2021-04-06,23:23:28,2021-04-06,2021-04-06
1478063,36952,672051,4,2022-05-09,03:00:32,2022-05-13,2022-05-09
3406801,69728,665314,8,2021-04-11,15:07:45,2021-04-11,2021-04-14
2094286,29869,240415,6,2022-01-14,00:57:53,2022-01-14,2022-01-20
1827603,30016,135307,1,2021-12-10,08:29:08,2021-12-12,2021-12-10
2022554,40707,584343,4,2021-05-25,17:52:33,2021-05-26,2021-05-28
1783264,94872,523759,7,2022-11-16,23:32:30,2022-11-18,2022-11-16
1619774,44255,874457,7,2022-06-27,23:45:10,2022-06-30,2022-07-02
3036470,70290,240160,1,2021-02-23,16:10:09,2021-02-26,2021-02-24
1591917,55298,768511,8,2021-09-15,08:28:30,2021-09-16,2021-09-15
3056667,71715,578483,5,2021-06-20,12:50:30,2021-06-21,2021-06-22
2244930,88323,653605,3,2021-06-24,15:22:22,2021-06-25,2021-06-25
1236994,35466,605816,6,2022-08-07,13:41:26,2022-08-12,2022-08-08
1674968,33492,532337,3,2022-10-06,15:03:54,2022-10-06,2022-10-06
2857125,52934,508531,8,2021-10-01,02:11:51,2021-10-05,2021-10-05
2776603,77020,688744,5,2022-08-12,16:24:38,2022-08-14,2022-08-15
2112455,40613,543614,1,2021-08-01,00:36:38,2021-08-02,2021-08-03
1510794,55325,711127,1,2021-10-31,23:54:43,2021-11-03,2021-11-04
1441570,33360,668871,3,2021-12-26,01:14:04,2021-12-27,2021-12-28
1702741,73461,763289,3,2021-11-04,16:52:47,2021-11-06,2021-11-07
1795724,77978,715626,7,2021-01-22,13:53:51,2021-01-25,2021-01-26
2626695,51506,530237,8,2022-01-09,01:37:11,2022-01-11,2022-01-09
3045001,66860,377621,6,2022-07-13,22:34:15,2022-07-16,2022-07-15
1793328,27055,180829,5,2022-08-09,14:30:54,2022-08-14,2022-08-15
1465807,53063,289363,6,2022-01-14,11:43:34,2022-01-15,2022-01-17
3436625,69069,646135,3,2021-01-26,23:16:34,2021-01-29,2021-01-27
2701410,36383,159288,6,2022-05-11,21:09:20,2022-05-12,2022-05-11
1794961,71423,638740,6,2022-07-22,08:03:22,2022-07-25,2022-07-22
2188562,65852,707271,2,2022-09-08,20:25:29,2022-09-08,2022-09-11
1693033,59465,136420,7,2021-09-07,23:08:30,2021-09-10,2021-09-13
1023420,93404,535474,1,2022-04-09,00:07:44,2022-04-09,2022-04-11
1317205,78215,530639,3,2021-10-21,17:08:16,2021-10-21,2021-10-24
1746291,65566,661965,3,2021-09-08,16:05:57,2021-09-10,2021-09-09
1091198,55599,644972,7,2022-09-27,23:28:04,2022-09-29,2022-09-29
3388245,27295,752771,4,2022-04-24,07:27:38,2022-04-24,2022-04-26
1728959,94472,305014,7,2022-10-23,23:02:26,2022-10-25,2022-10-25
3258416,44763,373570,7,2021-11-05,21:46:09,2021-11-07,2021-11-07
3239685,91166,644700,4,2022-08-12,05:02:15,2022-08-13,2022-08-17
3094554,93872,472923,3,2021-02-01,22:34:29,2021-02-04,2021-02-07
2925733,85411,572562,6,2021-09-25,11:59:52,2021-09-26,2021-09-27
