ID,Name,Unit_Price
6680,Unbranded Bike,317.79
4415,New Metal Pants,68.31
5607,Handcrafted Keyboard,716.76
6374,Soft Chair,803.88
8768,Practical Granite Tuna,209.88
7932,Small Plastic Shoes,275.21999999999997
5679,Sleek Chair,57.42
6719,Ergonomic Wooden Keyboard,538.56
1049,Cotton Computer,759.33
2185,Practical Towels,779.13
1377,Soft Pizza,704.88
6903,Rustic Metal Table,631.62
6740,Licensed Wooden Car,339.57
9102,Refined Mouse,22.77
8110,Computer,593.01
1234,Mouse,797.9399999999999
5216,Fantastic Metal Pizza,520.74
6880,Ergonomic Steel Pizza,444.51
7152,Hat,380.15999999999997
4351,Gently Used Plastic Computer,55.44
6704,Chicken,892.98
6670,Intelligent Soft Bacon,938.52
4565,Awesome Bacon,907.83
2916,Plastic Salad,376.2
9348,Fresh Cheese,984.06
3600,Tuna,311.85
8004,Used Chair,724.68
4126,Bacon,205.92
7463,Tasty Frozen Car,116.82
8417,For repair Chips,949.41
5271,Incredible Rubber Salad,697.95
1975,Unbranded Hat,764.28
2254,Fish,537.57
6306,Practical Wooden Towels,798.93
5523,Metal Shirt,515.79
5689,Rubber Cheese,316.8
4674,Cotton Keyboard,715.77
8384,Concrete Chair,37.62
1831,For repair Car,942.48
6608,Bike,494.01
2522,Generic Fresh Chips,85.14
9745,Frozen Computer,933.5699999999999
8085,Incredible Cotton Gloves,888.03
3226,Gorgeous Rubber Mouse,545.49
6849,Cheese,884.0699999999999
7720,Wooden Bacon,5.9399999999999995
6066,Tasty Cheese,886.05
9693,Salad,815.76
8182,Fresh Pants,908.8199999999999
2952,Ergonomic Towels,583.11
8902,Plastic Mouse,43.56
8230,Ergonomic Pizza,723.6899999999999
7957,Pizza,211.85999999999999
9485,Licensed Soft Shoes,856.35
7408,Awesome Table,767.25
3314,Cotton Ball,565.29
2825,Refined Table,482.13
2002,Sleek Tuna,84.15
3575,Used Salad,268.29
2094,Rubber Shirt,46.53
5053,Granite Gloves,471.24
3199,Rustic Car,698.9399999999999
2077,Small Towels,947.43
4823,Tasty Frozen Pizza,899.91
1941,Cotton Fish,117.81
5227,Practical Chips,430.65
7609,Shirt,417.78
5647,Frozen Car,529.65
6591,Soft Shoes,972.18
9499,Tasty Granite Chair,738.54
1858,Rubber Chicken,360.36
4756,Soap,471.24
1559,Small Metal Keyboard,629.64
4173,Pants,359.37
5056,Generic Frozen Shoes,746.46
1405,Keyboard,879.12
9858,Towels,859.3199999999999
5949,Steel Table,637.56
1341,Sleek Concrete Computer,165.33
1045,Ergonomic Steel Fish,882.09
2073,Fresh Sausages,703.89
8443,New Fresh Chips,705.87
3408,Practical Pizza,299.96999999999997
3977,Cotton Towels,127.71
4654,Intelligent Gloves,580.14
7876,Wooden Gloves,833.58
4103,Steel Computer,77.22
6724,Used Concrete Pizza,43.56
2799,Steel Cheese,814.77
3573,Fantastic Fresh Mouse,925.65
3884,Tasty Computer,377.19
3873,Incredible Keyboard,731.61
5999,Rubber Keyboard,595.98
3336,For repair Soft Computer,876.15
5660,Used Towels,590.04
1527,Gently Used Shirt,392.04
8077,Licensed Computer,137.60999999999999
1421,Wooden Shoes,735.57
7316,Gorgeous Fish,245.52
7090,Licensed Ball,237.6
7200,Frozen Fish,696.96
8025,Metal Hat,693.99
3213,Soft Salad,750.42
5665,Frozen Salad,717.75
6681,Rustic Metal Sausages,830.61
7795,Handmade Soft Soap,638.55
2293,Steel Bike,612.81
2852,Handcrafted Ball,96.03
4738,Used Concrete Mouse,931.59
6896,Small Concrete Hat,208.89
3692,Awesome Frozen Towels,717.75
4915,Fantastic Table,930.6
2703,Used Soft Fish,661.32
2197,Steel Shirt,213.84
5442,Fantastic Shoes,589.05
2957,Licensed Wooden Bike,873.18
5757,Sleek Bike,118.8
4744,Concrete Shirt,8.91
1875,Licensed Shirt,168.3
7329,Incredible Frozen Mouse,773.1899999999999
9149,Chair,117.81
7591,Ergonomic Tuna,851.4
1286,New Chicken,420.75
9273,Cotton Mouse,427.68
9154,Handcrafted Towels,413.82
2740,Refined Frozen Salad,153.45
7266,Fantastic Towels,663.3
4476,Sausages,231.66
6428,Soft Ball,428.67
1244,Soft Pants,266.31
1676,Intelligent Car,316.8
5756,Intelligent Cotton Mouse,766.26
4836,Incredible Chips,719.73
2963,Unbranded Plastic Mouse,423.71999999999997
5543,Tasty Fresh Ball,711.81
4885,Rubber Pants,250.47
8824,Gloves,808.83
9525,Generic Soft Keyboard,612.81
8666,Gently Used Hat,818.73
7906,Practical Gloves,587.07
7236,Frozen Ball,640.53
6137,Intelligent Wooden Car,973.17
4378,Fresh Bacon,276.21
2130,Refined Steel Computer,209.88
5509,Plastic Computer,234.63
9832,Tasty Table,305.91
7572,Gently Used Tuna,437.58
6424,Ergonomic Car,520.74
6319,Fantastic Chicken,311.85
2695,Metal Towels,192.06
